book_id,title,author,genre,language,publication_year,average_rating,num_ratings,popularity_score,num_pages,description,publisher
1,Atomic Habits,James Clear,Self Help,English,2018,4.4,7056,54.5,320,"A practical guide to building good habits and breaking bad ones through small, incremental changes.",Avery
2,The Psychology of Money,Morgan Housel,Business,English,2020,4.54,64696,67.7,256,"Timeless lessons on wealth, greed, and happiness told through short, memorable stories.",Harriman House
3,Deep Work,Cal Newport,Business,English,2016,3.81,193561,86.6,296,"A guide to focused success in a distracted world through the practice of deep, undistracted work.",Grand Central Publishing
4,Sapiens,Yuval Noah Harari,History,English,2011,3.64,194661,84.1,443,"A sweeping narrative of how Homo sapiens came to dominate the world through myths, cooperation, and revolutions.",Harper
5,Homo Deus,Yuval Noah Harari,History,English,2016,4.75,23290,60.0,450,"An exploration of humanity's future as technology reshapes biology, consciousness, and society.",Harper
6,Educated,Tara Westover,Biography,English,2018,4.33,8831,54.3,334,A memoir of a woman who grows up in a survivalist family and eventually earns a PhD from Cambridge.,Random House
7,Becoming,Michelle Obama,Biography,English,2018,3.54,57814,57.8,448,An intimate memoir chronicling the former First Lady's journey from Chicago's South Side to the White House.,Crown
8,The Alchemist,Paulo Coelho,Fiction,English,1988,3.83,158315,72.3,208,"A shepherd boy travels to Egypt in search of treasure, discovering the importance of following one's dreams.",HarperOne
9,1984,George Orwell,Fiction,English,1949,3.54,52624,38.8,328,"A dystopian vision of a totalitarian future where the Party controls truth, thought, and history.",Secker & Warburg
10,Animal Farm,George Orwell,Fiction,English,1945,4.5,184348,72.9,112,"A satirical fable about farm animals who overthrow their human owner, only to fall under new tyranny.",Secker & Warburg
11,To Kill a Mockingbird,Harper Lee,Fiction,English,1960,4.26,58287,48.4,281,A young girl in the American South witnesses her father defend a black man falsely accused of rape.,J.B. Lippincott & Co.
12,The Great Gatsby,F. Scott Fitzgerald,Classic,English,1925,4.13,73426,47.7,180,"A tragic tale of wealth, love, and the American Dream set in the Jazz Age of Long Island.",Charles Scribner's Sons
13,Pride and Prejudice,Jane Austen,Romance,English,1813,4.63,2203,37.5,279,"A witty exploration of manners, marriage, and misunderstanding in Georgian England.",T. Egerton
14,Wuthering Heights,Emily Bronte,Romance,English,1847,4.56,42353,45.0,342,"A dark, passionate tale of love and revenge on the English moors.",Thomas Cautley Newby
15,Jane Eyre,Charlotte Bronte,Romance,English,1847,4.48,89694,53.8,500,An orphaned governess finds love and independence despite hardship and injustice.,"Smith, Elder & Co."
16,The Hobbit,J.R.R. Tolkien,Fantasy,English,1937,3.89,56943,42.5,310,A reluctant hobbit joins a company of dwarves on a quest to reclaim treasure from a dragon.,George Allen & Unwin
17,The Fellowship of the Ring,J.R.R. Tolkien,Fantasy,English,1954,4.84,88736,57.5,423,"A hobbit sets out on a perilous journey to destroy a powerful, corrupting ring.",George Allen & Unwin
18,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,English,1997,3.64,100095,61.5,309,A young boy discovers he is a wizard and begins his journey at a magical school.,Bloomsbury
19,A Game of Thrones,George R.R. Martin,Fantasy,English,1996,3.64,222665,81.2,694,Noble families vie for control of the Iron Throne in a land where winter is coming.,Bantam Spectra
20,The Name of the Wind,Patrick Rothfuss,Fantasy,English,2007,3.98,69842,60.8,662,A legendary figure recounts his youth as a gifted magician and reluctant hero.,DAW Books
21,Mistborn: The Final Empire,Brandon Sanderson,Fantasy,English,2006,4.63,191794,90.1,541,A young thief with rare magical powers joins a rebellion against an immortal emperor.,Tor Books
22,Dune,Frank Herbert,Science Fiction,English,1965,4.14,33222,43.7,412,"A young noble navigates politics, prophecy, and survival on a harsh desert planet rich in a valuable spice.",Chilton Books
23,Foundation,Isaac Asimov,Science Fiction,English,1951,4.86,99730,59.1,255,A mathematician predicts the fall of a galactic empire and sets a plan to shorten the coming dark age.,Gnome Press
